engine,ef_search,recall@10,p50_ms,p99_ms,qps,build_or_train_s
vektordb-hnsw,16,0.82375,0.1648,0.4945,17855.4,386.95
vektordb-hnsw,24,0.88195,0.2176,0.4948,13639.3,386.95
vektordb-hnsw,32,0.91521,0.2593,1.1629,10750.1,386.95
vektordb-hnsw,48,0.95061,0.4317,1.988,8619.1,386.95
vektordb-hnsw,64,0.96803,0.4521,1.2384,6603.8,386.95
vektordb-hnsw,96,0.98391,0.6468,1.1511,4287.2,386.95
vektordb-hnsw,128,0.9907,0.8519,1.5291,3943.5,386.95
vektordb-hnsw,192,0.99567,1.2011,1.9194,2988.6,386.95
vektordb-hnsw,256,0.99761,1.5623,3.4726,2517.7,386.95
vektordb-hnsw,384,0.99876,2.162,3.0321,1618.7,386.95
vektordb-hnsw,512,0.99913,2.83,4.7198,1331.3,386.95
faiss-hnsw,16,0.8116,0.1191,0.2469,24736.1,306.78
faiss-hnsw,24,0.87408,0.1738,0.5288,15952.7,306.78
faiss-hnsw,32,0.91082,0.2128,0.3187,13066.6,306.78
faiss-hnsw,48,0.94844,0.2962,1.2006,6680.4,306.78
faiss-hnsw,64,0.9679,0.5029,3.5036,4750.9,306.78
faiss-hnsw,96,0.98425,0.701,2.3317,4179.5,306.78
faiss-hnsw,128,0.99104,0.8395,1.2656,3431.6,306.78
faiss-hnsw,192,0.99612,1.2107,2.2854,2478.7,306.78
faiss-hnsw,256,0.99769,1.6332,2.7373,1791.7,306.78
faiss-hnsw,384,0.9988,2.3358,3.2457,1084.3,306.78
faiss-hnsw,512,0.99911,3.4427,9.6138,737.9,306.78
vektordb-pq-rerank,16,0.83941,0.2114,1.5935,16789.6,20.1
vektordb-pq-rerank,24,0.83941,0.1856,0.3688,15193.2,20.1
vektordb-pq-rerank,32,0.83941,0.1909,0.3853,19491.8,20.1
vektordb-pq-rerank,48,0.84989,0.2108,0.4209,17483.3,20.1
vektordb-pq-rerank,64,0.86296,0.2666,0.6282,11823.2,20.1
vektordb-pq-rerank,96,0.8727,0.3647,0.6538,10788.5,20.1
vektordb-pq-rerank,128,0.87621,0.4576,0.8916,6170.3,20.1
vektordb-pq-rerank,192,0.87847,0.9963,2.3999,4398.4,20.1
vektordb-pq-rerank,256,0.8787,1.2083,2.5063,3386.6,20.1
vektordb-pq-rerank,384,0.87889,1.7384,3.5409,2723.0,20.1
vektordb-pq-rerank,512,0.87863,2.1783,4.019,1946.5,20.1
